iter	Logloss
0	0.5247854816
1	0.4198357617
2	0.375454692
3	0.3425337853
4	0.3236939903
5	0.3142195586
6	0.3068678619
7	0.303620965
8	0.2974687033
9	0.29352874
10	0.291299868
11	0.2893564944
12	0.2874081497
13	0.2863740753
14	0.2856418618
15	0.285028655
16	0.2842554258
17	0.2839056832
18	0.2835365107
19	0.2831636245
20	0.2827668938
21	0.2824560285
22	0.2820788564
23	0.2818650115
24	0.2814855188
25	0.2813353661
26	0.2811041048
27	0.2809194013
28	0.2806970767
29	0.2805178416
30	0.2802689178
31	0.2801491697
32	0.2800697503
33	0.2798261396
34	0.2795908134
35	0.2794842478
36	0.2792982714
37	0.2790437812
38	0.2789052411
39	0.2786906385
40	0.2785945866
41	0.278417545
42	0.2782204828
43	0.2781312663
44	0.2779540308
45	0.2778157363
46	0.2776808737
47	0.2776103298
48	0.2774070923
49	0.2772474149
50	0.2770844116
51	0.2769873649
52	0.2768640687
53	0.2767318346
54	0.2765899571
55	0.2764545383
56	0.276297541
57	0.2761374858
58	0.2760110374
59	0.2758713595
60	0.2756594269
61	0.2754384432
62	0.2752769871
63	0.2750974472
64	0.2749349321
65	0.2747717802
66	0.2745983964
67	0.2744568642
68	0.274311288
69	0.2741020546
70	0.2739057986
71	0.2737750963
72	0.2736253983
73	0.2734748173
74	0.2732775929
75	0.2731183078
76	0.2728504778
77	0.2727098552
78	0.2725438087
79	0.2723884132
80	0.2721851968
81	0.2720683504
82	0.2719248097
83	0.2717978648
84	0.2716607834
85	0.2715237533
86	0.2712743861
87	0.271106012
88	0.2709492201
89	0.270742746
90	0.2705000883
91	0.2703276402
92	0.2701780831
93	0.2700403081
94	0.2699580473
95	0.2698129017
96	0.2696088981
97	0.2694728416
98	0.2693280205
99	0.269227599
100	0.2690543221
101	0.2689267936
102	0.2688007787
103	0.2686879987
104	0.2685555938
105	0.268405695
106	0.2683016174
107	0.2681600579
108	0.2679701181
109	0.2678158022
110	0.2677067678
111	0.2675785262
112	0.2674550303
113	0.2673426973
114	0.267236251
115	0.2671513394
116	0.2669944283
117	0.2669024842
118	0.2667567941
119	0.2666335317
120	0.266538671
121	0.2663982053
122	0.2663041604
123	0.2660945108
124	0.2659555323
125	0.2658775698
126	0.2657543924
127	0.2656157291
128	0.2655055919
129	0.2654024441
130	0.2653209586
131	0.2651795623
132	0.2650091959
133	0.264862386
134	0.264756006
135	0.2646068345
136	0.2644450425
137	0.264337352
138	0.2642171758
139	0.2641024088
140	0.2639388503
141	0.2638630597
142	0.2637146219
143	0.2636306628
144	0.2635506346
145	0.2634490213
146	0.263353788
147	0.2632134439
148	0.2631448882
149	0.2630700513
150	0.2629040034
151	0.2627759456
152	0.2626489953
153	0.2625433863
154	0.2624501323
155	0.2623267101
156	0.2621753939
157	0.2620787905
158	0.2619710048
159	0.2618182038
160	0.2616643004
161	0.2615274112
162	0.2613958516
163	0.2613086536
164	0.2611502641
165	0.2610268802
166	0.2609486695
167	0.2607639829
168	0.2606274377
169	0.2605353232
170	0.2603140653
171	0.2601727793
172	0.2600806781
173	0.2599615881
174	0.2598042482
175	0.2597081539
176	0.259626246
177	0.2595481647
178	0.2594708837
179	0.2593870942
180	0.2592815641
181	0.259180269
182	0.2590365669
183	0.2589588468
184	0.2588599314
185	0.2587842902
186	0.2586933447
187	0.2586671391
188	0.2585422958
189	0.2584708848
190	0.2583817508
191	0.258229844
192	0.258089914
193	0.258035222
194	0.2579843677
195	0.2578821403
196	0.2577486099
197	0.2576394987
198	0.2575103644
199	0.2573743834
